"ym_quarter","dong","resid_num","m_resid_num","f_resid_num","age_20_under_resid_num","age_30_resid_num","age_40_resid_num","age_50_resid_num","age_60_over_resid_num"
20241,"성수1가제1동",15394,7652,7742,3918,2841,2013,2745,3877
20241,"성수2가제1동",14544,7539,7005,3138,2399,1889,2557,4561
20241,"행당제1동",13629,6526,7103,3988,2212,2056,2161,3212
20241,"금호4가동",14142,6694,7448,3427,2308,2621,2123,3663
20241,"왕십리제2동",15974,7663,8311,4271,2781,2315,2596,4011
20241,"응봉동",14940,7088,7852,4126,2031,2607,2508,3668
20241,"왕십리도선동",26181,12283,13898,7616,4411,3895,4311,5948
20241,"성수2가제3동",10021,4999,5022,2568,1835,1322,1581,2715
20241,"행당제2동",22851,10656,12195,6015,3426,3583,3971,5856
20241,"마장동",21556,10610,10946,6451,3159,2625,3419,5902
20241,"사근동",11936,6247,5689,5904,1611,1041,1286,2094
20241,"용답동",11809,6118,5691,3369,1989,1397,1892,3162
20241,"성수1가제2동",11932,5820,6112,3099,2314,1721,1844,2954
20241,"송정동",9719,5095,4624,2300,1547,1314,1704,2854
20241,"옥수동",25399,11775,13624,6339,4547,4429,3813,6271
20241,"금호2.3가동",21946,10443,11503,5292,3779,3570,3530,5775
20241,"금호1가동",14750,7024,7726,3630,2315,2474,2321,4010
20242,"성수1가제1동",15394,7652,7742,3918,2841,2013,2745,3877
20242,"성수2가제1동",14544,7539,7005,3138,2399,1889,2557,4561
20242,"행당제1동",13629,6526,7103,3988,2212,2056,2161,3212
20242,"금호4가동",14142,6694,7448,3427,2308,2621,2123,3663
20242,"왕십리제2동",15974,7663,8311,4271,2781,2315,2596,4011
20242,"응봉동",14940,7088,7852,4126,2031,2607,2508,3668
20242,"왕십리도선동",26181,12283,13898,7616,4411,3895,4311,5948
20242,"성수2가제3동",10021,4999,5022,2568,1835,1322,1581,2715
20242,"행당제2동",22851,10656,12195,6015,3426,3583,3971,5856
20242,"마장동",21556,10610,10946,6451,3159,2625,3419,5902
20242,"사근동",11936,6247,5689,5904,1611,1041,1286,2094
20242,"용답동",11809,6118,5691,3369,1989,1397,1892,3162
20242,"성수1가제2동",11932,5820,6112,3099,2314,1721,1844,2954
20242,"송정동",9719,5095,4624,2300,1547,1314,1704,2854
20242,"옥수동",25399,11775,13624,6339,4547,4429,3813,6271
20242,"금호2.3가동",21946,10443,11503,5292,3779,3570,3530,5775
20242,"금호1가동",14750,7024,7726,3630,2315,2474,2321,4010
20243,"금호2.3가동",21946,10443,11503,5292,3779,3570,3530,5775
20243,"금호1가동",14750,7024,7726,3630,2315,2474,2321,4010
20243,"성수1가제1동",15394,7652,7742,3918,2841,2013,2745,3877
20243,"성수2가제1동",14544,7539,7005,3138,2399,1889,2557,4561
20243,"행당제1동",13629,6526,7103,3988,2212,2056,2161,3212
20243,"금호4가동",14142,6694,7448,3427,2308,2621,2123,3663
20243,"왕십리제2동",15974,7663,8311,4271,2781,2315,2596,4011
20243,"응봉동",14940,7088,7852,4126,2031,2607,2508,3668
20243,"왕십리도선동",26181,12283,13898,7616,4411,3895,4311,5948
20243,"성수2가제3동",10021,4999,5022,2568,1835,1322,1581,2715
20243,"행당제2동",22851,10656,12195,6015,3426,3583,3971,5856
20243,"마장동",21556,10610,10946,6451,3159,2625,3419,5902
20243,"사근동",11936,6247,5689,5904,1611,1041,1286,2094
20243,"용답동",11809,6118,5691,3369,1989,1397,1892,3162
20243,"성수1가제2동",11932,5820,6112,3099,2314,1721,1844,2954
20243,"송정동",9719,5095,4624,2300,1547,1314,1704,2854
20243,"옥수동",25399,11775,13624,6339,4547,4429,3813,6271
20244,"성수1가제1동",15394,7652,7742,3918,2841,2013,2745,3877
20244,"성수2가제1동",14544,7539,7005,3138,2399,1889,2557,4561
20244,"행당제1동",13629,6526,7103,3988,2212,2056,2161,3212
20244,"금호4가동",14142,6694,7448,3427,2308,2621,2123,3663
20244,"왕십리제2동",15974,7663,8311,4271,2781,2315,2596,4011
20244,"응봉동",14940,7088,7852,4126,2031,2607,2508,3668
20244,"왕십리도선동",26181,12283,13898,7616,4411,3895,4311,5948
20244,"성수2가제3동",10021,4999,5022,2568,1835,1322,1581,2715
20244,"행당제2동",22851,10656,12195,6015,3426,3583,3971,5856
20244,"마장동",21556,10610,10946,6451,3159,2625,3419,5902
20244,"사근동",11936,6247,5689,5904,1611,1041,1286,2094
20244,"용답동",11809,6118,5691,3369,1989,1397,1892,3162
20244,"성수1가제2동",11932,5820,6112,3099,2314,1721,1844,2954
20244,"송정동",9719,5095,4624,2300,1547,1314,1704,2854
20244,"옥수동",25399,11775,13624,6339,4547,4429,3813,6271
20244,"금호2.3가동",21946,10443,11503,5292,3779,3570,3530,5775
20244,"금호1가동",14750,7024,7726,3630,2315,2474,2321,4010
20231,"금호2.3가동",24420,11838,12582,5756,3538,4495,3775,6856
20231,"옥수동",23133,10990,12143,5684,3462,4480,3298,6209
20231,"응봉동",16178,7777,8401,4315,1822,2932,2775,4334
20231,"성수2가제1동",18477,9577,8900,3655,2902,2880,3225,5815
20231,"성수2가제3동",10873,5654,5219,2074,1910,1775,1636,3478
20231,"송정동",11173,5944,5229,2193,1765,1774,2006,3435
20231,"금호1가동",13659,6614,7045,3145,1721,2265,2297,4231
20231,"금호4가동",14290,6889,7401,3401,1947,2840,2176,3926
20231,"마장동",22343,11095,11248,5183,3815,3188,3593,6564
20231,"사근동",10998,5707,5291,2654,3048,1337,1335,2624
20231,"성수1가제1동",16029,8118,7911,3826,2624,2576,2819,4184
20231,"왕십리제2동",16917,8349,8568,3967,2582,2768,2785,4815
20231,"용답동",15032,8020,7012,2746,2406,2327,2793,4760
20231,"행당제1동",11784,5756,6028,2643,1890,1928,1848,3475
20231,"행당제2동",26603,12624,13979,7215,3267,4864,4419,6838
20231,"성수1가제2동",14754,7371,7383,3194,2718,2652,2255,3935
20231,"왕십리도선동",19658,9555,10103,4724,3178,3237,3096,5423
20232,"왕십리제2동",16917,8349,8568,3967,2582,2768,2785,4815
20232,"왕십리도선동",19658,9555,10103,4724,3178,3237,3096,5423
20232,"마장동",22343,11095,11248,5183,3815,3188,3593,6564
20232,"사근동",10998,5707,5291,2654,3048,1337,1335,2624
20232,"행당제1동",11784,5756,6028,2643,1890,1928,1848,3475
20232,"행당제2동",26603,12624,13979,7215,3267,4864,4419,6838
20232,"응봉동",16178,7777,8401,4315,1822,2932,2775,4334
20232,"금호1가동",13659,6614,7045,3145,1721,2265,2297,4231
20232,"금호2.3가동",24420,11838,12582,5756,3538,4495,3775,6856
20232,"금호4가동",14290,6889,7401,3401,1947,2840,2176,3926
20232,"옥수동",23133,10990,12143,5684,3462,4480,3298,6209
20232,"성수1가제1동",16029,8118,7911,3826,2624,2576,2819,4184
20232,"성수1가제2동",14754,7371,7383,3194,2718,2652,2255,3935
20232,"성수2가제1동",18477,9577,8900,3655,2902,2880,3225,5815
20232,"성수2가제3동",10873,5654,5219,2074,1910,1775,1636,3478
20232,"송정동",11173,5944,5229,2193,1765,1774,2006,3435
20232,"용답동",15032,8020,7012,2746,2406,2327,2793,4760
20233,"왕십리제2동",16917,8349,8568,3967,2582,2768,2785,4815
20233,"왕십리도선동",19658,9555,10103,4724,3178,3237,3096,5423
20233,"마장동",22343,11095,11248,5183,3815,3188,3593,6564
20233,"사근동",10998,5707,5291,2654,3048,1337,1335,2624
20233,"행당제1동",11784,5756,6028,2643,1890,1928,1848,3475
20233,"행당제2동",26603,12624,13979,7215,3267,4864,4419,6838
20233,"응봉동",16178,7777,8401,4315,1822,2932,2775,4334
20233,"금호1가동",13659,6614,7045,3145,1721,2265,2297,4231
20233,"금호2.3가동",24420,11838,12582,5756,3538,4495,3775,6856
20233,"금호4가동",14290,6889,7401,3401,1947,2840,2176,3926
20233,"옥수동",23133,10990,12143,5684,3462,4480,3298,6209
20233,"성수1가제1동",16029,8118,7911,3826,2624,2576,2819,4184
20233,"성수1가제2동",14754,7371,7383,3194,2718,2652,2255,3935
20233,"성수2가제1동",18477,9577,8900,3655,2902,2880,3225,5815
20233,"성수2가제3동",10873,5654,5219,2074,1910,1775,1636,3478
20233,"송정동",11173,5944,5229,2193,1765,1774,2006,3435
20233,"용답동",15032,8020,7012,2746,2406,2327,2793,4760
20234,"성수1가제1동",15394,7652,7742,3918,2841,2013,2745,3877
20234,"성수2가제1동",14544,7539,7005,3138,2399,1889,2557,4561
20234,"행당제1동",13629,6526,7103,3988,2212,2056,2161,3212
20234,"금호4가동",14142,6694,7448,3427,2308,2621,2123,3663
20234,"왕십리제2동",15974,7663,8311,4271,2781,2315,2596,4011
20234,"응봉동",14940,7088,7852,4126,2031,2607,2508,3668
20234,"왕십리도선동",26181,12283,13898,7616,4411,3895,4311,5948
20234,"성수2가제3동",10021,4999,5022,2568,1835,1322,1581,2715
20234,"행당제2동",22851,10656,12195,6015,3426,3583,3971,5856
20234,"마장동",21556,10610,10946,6451,3159,2625,3419,5902
20234,"사근동",11936,6247,5689,5904,1611,1041,1286,2094
20234,"용답동",11809,6118,5691,3369,1989,1397,1892,3162
20234,"성수1가제2동",11932,5820,6112,3099,2314,1721,1844,2954
20234,"송정동",9719,5095,4624,2300,1547,1314,1704,2854
20234,"옥수동",25399,11775,13624,6339,4547,4429,3813,6271
20234,"금호2.3가동",21946,10443,11503,5292,3779,3570,3530,5775
20234,"금호1가동",14750,7024,7726,3630,2315,2474,2321,4010
